ordinal,item,itemLabel,start,end,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q114286742,2018–22 Lebanese Parliament,2018-05-23,2022-05-21,2018-05-23,11,,,2022-05-21,11,,,,,Q114286743,2022– Lebanese Parliament,,,,
,Q114286743,2022– Lebanese Parliament,2022-05-31,,2022-05-31,11,,,,,,,Q114286742,2018–22 Lebanese Parliament,,,,,,
