item,toLabel,countryLabel,itemLabel
Q53257769,ambassador to the Soviet Union,Soviet Union,Ambassador of Lebanon to the Soviet Union
Q53256545,ambassador to West Germany,West Germany,Ambassador of Lebanon to West Germany
