@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q108504530,Georges Khoury->Henri Khoury,Q72548737,Justice,2021-09-10,,Q108504530-8e00c3c2-48dc-d975-686a-4f7b004bdcee
---,Q2094707,Selim al-Hoss,Q114287636,Minister of Economy and Trade,1976,,Q2094707-d4adc186-4945-3eee-f390-f6d63de7917d
