@@,item,itemlabel,startdate,enddate
---,Q363392,Michel Aoun,1984-06-23,
+++,Q57427,Michel Suleiman,1998-12-21,2008-05-26
+++,Q434235,Jean Kahwaji,2008-08-30,2017-03-08
+++,Q29033962,Joseph Aoun,2017-03-08,
