@@,item,itemlabel,startdate,enddate
->,Q2094707,Selim al-Hoss->Selim Hoss,1998-12-04,2000-10-26
->,Q296771,Saad Hariri,2016-12-18,2019-10-29->2020-01-21
---,Q5679624,Hassan Diab,2019-12-19,2020-08-10
->,Q5679624,Hassan Diab,2020-08-10->2020-01-21,2021-09-10
