position,person,personID,start,end
Prime Minister,Najib Mikati,Q318493,2021-09-10,
Deputy Prime Minister,Saadeh Al Shami,Q108507913,2021-09-10,
Minister of Agriculture,Abbas Al Haj Hassan,Q108508046,2021-09-10,
Minister of Culture,Mohammad Mortada,Q108508047,2021-09-10,
Minister of Defence,Maurice Sleem,Q108504532,2021-09-10,
Minister of the Displaced,Issam Sharafeddine,Q108508043,2021-09-10,
Minister of Economy and Trade,Amin Salam,Q108504534,2021-09-10,
Minister of Education and Higher Education,Abbas Halabi,Q108508022,2021-09-10,
Minister of Energy and Water,Walid Fayyad,Q108508019,2021-09-10,
Minister of the Environment,Nasser Yassin,Q108508045,2021-09-10,
Minister of Finance,Youssef Khalil,Q3572943,2021-09-10,
Minister of Foreign Affairs,Abdallah Bou Habib,Q108504531,2021-09-10,
Minister of Health,Firas Abiad,Q108508023,2021-09-10,
Minister of Industry,George Bouchikian,Q108508048,2021-09-10,
Minister of Information,Ziad Makary,Q111685992,2022-03-10,
Minister of the Interior and Municipalities,Bassam Mawlawi,Q108504533,2021-09-10,
Minister of Justice,Henri Khoury,Q108504530,2021-09-10,
Minister of Labour,Moustafa Bayram,Q108508025,2021-09-10,
Minister of Public Works and Transport,Ali Hamieh,Q108508021,2021-09-10,
Minister of Social Affairs,Hector Hajjar,Q108524708,2021-09-10,
Minister of Telecommunications,Johnny Corm,Q108508058,2021-09-10,
Minister of Tourism,Walid Nassar,Q108508033,2021-09-10,
Minister of Youth and Sports,Georges Kallas,Q108508044,2021-09-10,
Minister of State for Administrative Reform,Najla Riachi,Q108524635,2021-09-10,
Speaker of the Parliament,Nabih Berri,Q704220,1992-10-20,
Governor of the Bank of Lebanon,Riad Salameh,Q3362882,1993-08-01,
