wanted,position,positionid,from,start,end
Q21005151,Minister of Education and Higher Education,Q79199745,Q5679624,2011-06-13,2014-02-15
Q378415,Minister of Energy and Water,Q114285978,Q2737847,2009-11-09,2014-02-14
Q984481,Minister of Telecommunications,Q114285944,Q2737847,2008-07-11,2009-11-08
Q3050961,Deputy Speaker of the Parliament,Q96376243,Q3066903,2005-06-05,2018-05-06
Q58177,Minister of Defence,Q53261455,Q319983,2003-04-17,2005-07-19
Q2875006,Minister of Electrical and Water Resources,Q112056418,Q251878,2000-10-26,2003-04-17
Q3050940,Minister of Finance,Q114287637,Q314263,2000-10-26,2004-10-26
Q2866926,Minister of Labour,Q114286280,Q339999,2000,2008
Q1329138,Minister of the Interior and Municipalities,Q105164607,Q1738970,1994-02-09,2000-10-26
