pageid,title,wikidata,label
592775,Nabih Berri,Q704220,Nabih Berri
23425707,Riad Salameh,Q3362882,Riad Salameh
30865772,Najib Mikati,Q318493,Najib Mikati
68698453,Youssef Khalil,Q3572943,Youssef Khalil
68698491,Abdallah Bou Habib,Q108504531,Abdallah Bou Habib
68699218,Saadeh Al Shami,Q108507913,Saadeh Al Shami
69182063,Maurice Sleem,Q108504532,Maurice Sleem
69218987,Amin Salam,Q108504534,Amin Salam
70321157,Abbas Halabi,Q108508022,Abbas Halabi
70597579,Ziad Makary,Q111685992,Ziad Makary
