wpid,wpdobstr,wpdob
23425707,"July 17, 1950",1950-07-17
30865772,"November 24, 1955",1955-11-24
592775,"January 28, 1938",1938-01-28
68698453,1958 (age 65),1958
68698491,"November 21, 1941",1941-11-21
69182063,"February 5, 1954",1954-02-05
69218987,1979,1979
70321157,Birth year 1949,
